foodnames,imgs,lat,lon,north,west,side,main,east,tech
"규동 (혼덮밥) / 5,900원 (카드결제 X)",images/규동_혼덮밥.jpg,35.8849473,128.6100814,F,F,T,F,F,F
"매운돈가스 반상 (돈가스반상&불국수) / 8,900원",images/매운돈가스반상_돈가스반상.jpg,35.8944285,128.610389,T,F,F,F,F,F
"마라탕(소) (마라관) / 1,500원 (100g당)",images/마라탕소_저스트마라관.jpg,35.893427,128.6078846,T,F,F,F,F,F
"크랩파스타(2인) (림터) / 30,000원",images/크랩파스타2인_림터.jpg,35.8921353,128.6075789,T,F,F,F,F,F
"불고기 3인분 (송정숯불갈비) / 15,000원 (1인분당)",images/불고기_송정.jpg,35.8921557,128.6054437,T,F,F,F,F,F
"돈찜 (고기한마당) / 6,000원",images/돈찜_고기한마당.jpg,35.8884339,128.6033884,F,T,F,F,F,F
"국대삼겹 (국대삼겹) / 2,900원",images/국대삼겹_국대삼겹.jpg,35.8937154,128.6084661,T,F,F,F,F,F
"마약찜닭(소) (나린찜닭) / 13,000원",images/마약찜닭소_나린찜닭.jpg,35.8918829,128.6077642,T,F,F,F,F,F
"매콤철판치즈돈가스 (까츠야) / 7,000원",images/매콤철판고구마치즈돈가스_까츠야.jpg,35.8931435,128.609257,T,F,F,F,F,F
"다니다니샌드 (다니상점) / 6,000원 (1개는 3,500원)",images/다니다니샌드_다니상점.jpg,35.8881803,128.6169712,F,F,F,F,T,F
"꼬깔면탕 (왕추찜닭) / 7,000원",images/꼬깔면탕_왕추찜닭.jpg,35.8880607,128.603247,F,T,F,F,F,F
"중화비빔밥 (기황후) / 6,000원",images/중화비빔밥_기황후.jpg,35.88967,128.6177027,F,F,F,F,T,F
"크림찜닭(반마리) (봉대박찜닭) / 22,000원",images/크림찜닭_봉대박.jpg,35.8945114,128.6100385,T,F,F,F,F,F
"피자돈까스 (돈가스백작) / 7,500원",images/피자돈가스_돈가스백작.jpg,35.8849473,128.6100814,F,F,T,F,F,F
"수제흑돼지돈까스 (모이다식탁) / 7,000원",images/수제흑돼지돈까스_모이다식탁.jpg,35.8847813,128.6136587,F,F,F,T,F,F
"고기볶음2인 (우리분식) / 10,000원 (1인분 5,000원)",images/고기볶음_우리분식.jpg,35.8849872,128.6098802,F,F,T,F,F,F
"크림치즈볼피자(S) (몽땅) / 12,900원",images/크림치즈볼피자_몽땅.jpg,35.8831555,128.6097188,F,F,T,F,F,F
"제육볶음2인 (또또분식) / 10,000원 (1인분 5,000원)",images/제육볶음2인_또또분식.jpg,35.8854538,128.6100864,F,F,T,F,F,F
"순두부찌개 (맛나분식) / 5,000원",images/순두부찌개_맛나분식.jpg,35.885397,128.609712,F,F,T,F,F,F
"소세지오므라이스 (모이다식탁) / 6,500원",images/소세지오므라이스_모이다식탁.jpg,35.8847813,128.6136587,F,F,F,T,F,F
"베이컨새우볶음밥 (모이다식탁) / 6,500원",images/베이컨새우볶음밥_모이다식탁.jpg,35.8847813,128.6136587,F,F,F,T,F,F
"돼지국밥 (장터돼지국밥) / 5,000원",images/돼지국밥_장터돼지국밥.jpg,35.8857592,128.6098901,F,F,T,F,F,F
"순살까만찜닭(소) (첫눈에찜한닭) / 17,000원",images/순살까만찜닭소_첫눈에찜한닭.jpg,35.8852704,128.6098203,F,F,T,F,F,F
"중화고기밥 (짬마담) / 7,900원",images/중화고기밥_짬마담.jpg,35.8847816,128.6100249,F,F,T,F,F,F
"서해바지락탕면 (짬마담) / 8,500원",images/서해바지락탕면_짬마담.jpg,35.8847816,128.6100249,F,F,T,F,F,F
"차돌박이짬뽕 (짬마담) / 7,900원",images/차돌박이짬뽕_짬마담.jpg,35.8847816,128.6100249,F,F,T,F,F,F
"불비빔국수 반상 (돈가스반상&불국수) / 7,900원",images/불비빔국수반상_돈가스반상불국수.jpg,35.8944285,128.610389,T,F,F,F,F,F
"묵은지찜닭(순살) (장군찜닭) / 25,000원",images/묵은지찜닭_장군찜닭.jpg,35.8921103,128.6080783,T,F,F,F,F,F
"고추장불고기 2인 (선희네밥상) / 10,000원",images/고추장불고기_선희네밥상.jpg,35.8920599,128.6153254,F,F,F,F,F,T
"해쉬 살사버거세트 (다이나믹 키친) / 8,500원 (단품 6,000원)",images/해쉬살사버거_다이나믹키친.jpg,35.889048,128.6168439,F,F,F,F,T,F
"사랑국밥 (사랑받는 돼지국밥) / 6,000원",images/사랑국밥_사랑받는돼지국밥.jpg,35.8898914,128.6179304,F,F,F,F,T,F
"삼겹구이 (삼용식당분식) / 6,000원",images/삼겹구이_삼용식당분식.jpg,35.8891325,128.6168844,F,F,F,F,T,F
"돈물냉면 (포크포크 매콤돈가스&칡불냉면) / 8,000원",images/돈물냉면_포크포크.jpg,35.8939131,128.6098134,T,F,F,F,F,F
"퐁닭퐁닭(한마리) (하회마을) / 22,000원",images/퐁닭퐁닭_하회마을.jpg,35.8929714,128.6094307,T,F,F,F,F,F
"볶음짜장 2인 (황금성) / 10,000원",images/볶음짜장2인_황금성.jpg,35.8920088,128.6154324,F,F,F,F,F,T
"야끼우동 (황금성) / 5,000원",images/야끼우동_황금성.jpg,35.8920088,128.6154324,F,F,F,F,F,T
"깐풍육 소 (황금성) / 14,000원",images/깐풍육소_황금성.jpg,35.8920088,128.6154324,F,F,F,F,F,T
"기본세트 (루이윌리엄떡4세) / 9,000원",images/기본세트_루이윌리엄떡4세.jpg,35.8846457,128.614444,F,F,F,T,F,F
"진짜장밥 (짬마담) / 6,500원",images/진짜장밥_짬마담.jpg,35.8847816,128.6100249,F,F,T,F,F,F
"브리또(믹스)+음료 (델브리또) / 4,200원",images/브리또+음료_델브리또.jpg,35.8932581,128.6095913,T,F,F,F,F,F
"빨간짬뽕 (면탐정) / 5,500원",images/빨간짬뽕_면탐정.jpg,35.8933953,128.6081236,T,F,F,F,F,F
"핑크짬뽕 (면탐정) / 6,500원",images/핑크짬뽕_면탐정.jpg,35.8933953,128.6081236,T,F,F,F,F,F
"크림짬뽕 (면탐정) / 7,500원",images/크림짬뽕_면탐정.jpg,35.8933953,128.6081236,T,F,F,F,F,F
